,Afinn,Afinn,Afinn,Afinn,Afinn,Afinn,Afinn,Afinn,word count,word count,word count,word count,word count,word count,word count,word count,relativ_afinn,relativ_afinn,relativ_afinn,relativ_afinn,relativ_afinn,relativ_afinn,relativ_afinn,relativ_afinn,Afinn_adj,Afinn_adj,Afinn_adj,Afinn_adj,Afinn_adj,Afinn_adj,Afinn_adj,Afinn_adj,relativ_afinn_adj,relativ_afinn_adj,relativ_afinn_adj,relativ_afinn_adj,relativ_afinn_adj,relativ_afinn_adj,relativ_afinn_adj,relativ_afinn_adj,Afinn_dict,Afinn_dict,Afinn_dict,Afinn_dict,Afinn_dict,Afinn_dict,Afinn_dict,Afinn_dict,Afinn_relativ_adj2,Afinn_relativ_adj2,Afinn_relativ_adj2,Afinn_relativ_adj2,Afinn_relativ_adj2,Afinn_relativ_adj2,Afinn_relativ_adj2,Afinn_relativ_adj2,Afinn_adj3,Afinn_adj3,Afinn_adj3,Afinn_adj3,Afinn_adj3,Afinn_adj3,Afinn_adj3,Afinn_adj3,relativ_afinn_adj3,relativ_afinn_adj3,relativ_afinn_adj3,relativ_afinn_adj3,relativ_afinn_adj3,relativ_afinn_adj3,relativ_afinn_adj3,relativ_afinn_adj3,d_relativ_afinn,d_relativ_afinn,d_relativ_afinn,d_relativ_afinn,d_relativ_afinn,d_relativ_afinn,d_relativ_afinn,d_relativ_afinn,p_relativ_afinn,p_relativ_afinn,p_relativ_afinn,p_relativ_afinn,p_relativ_afinn,p_relativ_afinn,p_relativ_afinn,p_relativ_afinn
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
rating_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1913.0,-0.9874542603240982,5.480647719554854,-36.0,-4.0,-1.0,2.0,35.0,1913.0,97.01515943544172,121.66330382701614,1.0,31.0,65.0,117.0,2007.0,1913.0,-3.272401009027945,15.964966907212432,-300.0,-6.25,-0.8403361344537815,2.197802197802198,133.33333333333331,1913.0,-3.0810245687401987,13.808016462004288,-78.0,-9.0,-1.0,4.0,78.0,1913.0,-8.658164298775993,38.478273123887,-450.0,-15.384615384615385,-2.3255813953488373,4.315196998123827,266.66666666666663,1913.0,4.74594877156299,5.565440426948256,0.0,1.0,3.0,6.0,69.0,1743.0,,,-inf,-340.0,-94.11764705882352,113.39285714285714,inf,1913.0,-429.5771040250915,1118.9613428802772,-7800.0,-18.0,-1.0,8.0,213.0,1750.0,,,-inf,-565.3846153846155,-100.0,272.4025974025974,inf,1913.0,-3.272401009027945,15.964966907212432,-300.0,-6.25,-0.8403361344537815,2.197802197802198,133.33333333333331,0.0,,,,,,,
2,467.0,0.2955032119914347,4.8446290239069425,-25.0,-2.0,0.0,2.0,21.0,467.0,83.06852248394004,89.80395681371863,2.0,25.5,54.0,102.5,677.0,467.0,-0.74761500279047,14.942396305084579,-150.0,-4.233870967741936,0.0,3.802776171197224,100.0,467.0,0.278372591006424,11.839757309161707,-63.0,-5.0,0.0,6.0,55.0,467.0,-2.661200359485777,40.66612899473629,-450.0,-9.317829457364342,0.0,7.592136161624003,300.0,467.0,4.139186295503212,4.467803968152314,0.0,1.0,3.0,6.0,27.0,423.0,,,-inf,-233.33333333333334,11.11111111111111,200.0,inf,467.0,-382.6638115631692,1128.4558995401187,-7729.0,-8.0,1.0,25.0,133.0,433.0,,,-inf,-400.0,87.5,700.0,inf,467.0,-0.74761500279047,14.942396305084579,-150.0,-4.233870967741936,0.0,3.802776171197224,100.0,0.0,,,,,,,
3,407.0,1.3955773955773956,3.6736688012611745,-12.0,-0.5,1.0,3.0,16.0,407.0,49.06388206388206,46.112796463675274,2.0,16.0,36.0,64.0,322.0,407.0,3.5110208908047165,19.058103659953197,-150.0,-0.49019607843137253,1.6666666666666667,7.921568627450981,125.0,407.0,3.574938574938575,9.080301905402807,-28.0,-1.0,3.0,8.0,45.0,407.0,10.721059764173567,48.46826203685337,-450.0,-1.6993087557603686,4.761904761904762,20.0,325.0,407.0,2.619164619164619,2.574969757328996,0.0,1.0,2.0,3.0,13.0,357.0,,,-inf,-100.0,150.0,400.0,inf,407.0,-62.33169533169533,439.5035102476719,-2610.0,0.0,4.0,25.0,154.0,360.0,,,-inf,-66.66666666666666,327.88461538461536,1012.5,inf,407.0,3.5110208908047165,19.058103659953197,-150.0,-0.49019607843137253,1.6666666666666667,7.921568627450981,125.0,0.0,,,,,,,
4,1096.0,2.5985401459854014,3.2532888402105966,-14.0,0.0,2.0,4.0,22.0,1096.0,22.02007299270073,30.762598983999645,1.0,5.0,11.0,25.0,393.0,1096.0,29.797640412162295,41.466662559215465,-75.0,0.0,15.384615384615385,45.45454545454545,300.0,1096.0,6.905109489051095,8.187200802124174,-35.0,1.0,5.0,11.0,50.0,1096.0,80.76092265171906,111.55514863083829,-225.0,7.535377358490566,42.857142857142854,114.28571428571428,900.0,1096.0,1.8731751824817517,1.9438161756025771,0.0,1.0,1.0,2.0,22.0,985.0,inf,,-900.0,250.0,433.3333333333333,800.0,inf,1096.0,-10.874087591240876,332.7174931534386,-5177.0,3.0,25.0,50.0,203.0,965.0,inf,,-260100.0,400.0,1580.0,2700.0,inf,1096.0,29.797640412162295,41.466662559215465,-75.0,0.0,15.384615384615385,45.45454545454545,300.0,0.0,,,,,,,
5,4354.0,3.3433624253559944,3.2142169673331846,-27.0,2.0,3.0,5.0,27.0,4354.0,14.165594855305466,22.03557680428347,1.0,4.0,7.0,15.0,485.0,4354.0,44.87369592723688,47.854689045198576,-100.0,9.523809523809524,33.33333333333333,66.66666666666666,400.0,4354.0,8.801332108406063,8.543037789002009,-71.0,4.0,8.0,13.0,68.0,4354.0,119.49344446683612,137.067923071135,-200.0,25.0,81.25,180.0,1600.0,4354.0,1.7145153881488286,1.6265191614195016,0.0,1.0,1.0,2.0,23.0,3920.0,,,-inf,400.0,500.0,900.0,inf,4354.0,28.486678915939365,127.38796803843023,-2601.0,8.0,29.0,50.0,176.0,3916.0,,,-inf,1100.0,2500.0,3750.0,inf,4354.0,44.87369592723688,47.854689045198576,-100.0,9.523809523809524,33.33333333333333,66.66666666666666,400.0,0.0,,,,,,,
