,Afinn,Afinn,Afinn,Afinn,Afinn,Afinn,Afinn,Afinn,word count,word count,word count,word count,word count,word count,word count,word count,relativ_afinn,relativ_afinn,relativ_afinn,relativ_afinn,relativ_afinn,relativ_afinn,relativ_afinn,relativ_afinn,Afinn_adj,Afinn_adj,Afinn_adj,Afinn_adj,Afinn_adj,Afinn_adj,Afinn_adj,Afinn_adj,relativ_afinn_adj,relativ_afinn_adj,relativ_afinn_adj,relativ_afinn_adj,relativ_afinn_adj,relativ_afinn_adj,relativ_afinn_adj,relativ_afinn_adj,Afinn_dict,Afinn_dict,Afinn_dict,Afinn_dict,Afinn_dict,Afinn_dict,Afinn_dict,Afinn_dict,Afinn_relativ_adj2,Afinn_relativ_adj2,Afinn_relativ_adj2,Afinn_relativ_adj2,Afinn_relativ_adj2,Afinn_relativ_adj2,Afinn_relativ_adj2,Afinn_relativ_adj2,Afinn_adj3,Afinn_adj3,Afinn_adj3,Afinn_adj3,Afinn_adj3,Afinn_adj3,Afinn_adj3,Afinn_adj3,relativ_afinn_adj3,relativ_afinn_adj3,relativ_afinn_adj3,relativ_afinn_adj3,relativ_afinn_adj3,relativ_afinn_adj3,relativ_afinn_adj3,relativ_afinn_adj3,d_relativ_afinn,d_relativ_afinn,d_relativ_afinn,d_relativ_afinn,d_relativ_afinn,d_relativ_afinn,d_relativ_afinn,d_relativ_afinn,p_relativ_afinn,p_relativ_afinn,p_relativ_afinn,p_relativ_afinn,p_relativ_afinn,p_relativ_afinn,p_relativ_afinn,p_relativ_afinn
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
rating_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3015.0,-1.0301824212271973,5.756109630256958,-36.0,-4.0,-1.0,2.0,35.0,3015.0,104.24975124378109,123.32765167359508,1.0,33.0,72.0,128.0,2007.0,3015.0,-2.935879744389127,14.65027764143369,-300.0,-5.88235294117647,-0.7633587786259541,2.0033444816053514,133.33333333333331,3015.0,-3.294195688225539,14.42031911318166,-90.0,-10.0,-2.0,4.0,90.0,3015.0,-8.065133443295004,36.428455224731614,-450.0,-14.504441327723235,-2.197802197802198,3.9487019568098543,266.66666666666663,3015.0,5.101492537313433,5.886984262244038,0.0,2.0,4.0,7.0,69.0,2764.0,,,-inf,-306.9117647058823,-85.44973544973544,100.0,inf,3015.0,-498.9568822553897,1225.1840158627203,-13012.0,-21.0,-1.0,8.0,213.0,2771.0,,,-inf,-650.0,-100.0,250.0,inf,1913.0,-3.272401009027945,15.964966907212432,-300.0,-6.25,-0.8403361344537815,2.197802197802198,133.33333333333331,1102.0,-2.3517008158464434,12.016229457978529,-150.0,-5.43491959469678,-0.6243668666718616,1.8780573025856042,80.0
2,764.0,0.39267015706806285,5.074310049734668,-26.0,-2.0,0.0,2.0,21.0,764.0,81.12958115183245,87.18241501679027,2.0,25.75,54.0,101.0,677.0,764.0,-0.47279071392310706,13.088144100039466,-150.0,-3.941176470588235,0.0,3.931275480489225,100.0,764.0,0.4698952879581152,12.251316969442291,-72.0,-5.0,0.0,6.0,55.0,764.0,-1.9436645477440688,35.165827841752886,-450.0,-9.090909090909092,0.0,8.355263157894736,300.0,764.0,4.053664921465969,4.390326513086133,0.0,1.0,3.0,6.0,32.0,684.0,,,-inf,-204.16666666666666,0.0,215.7051282051282,inf,764.0,-308.10340314136124,1005.0181175255453,-7729.0,-7.25,0.0,24.0,135.0,693.0,,,-inf,-400.0,100.0,675.0,inf,467.0,-0.74761500279047,14.942396305084579,-150.0,-4.233870967741936,0.0,3.802776171197224,100.0,297.0,-0.04065959304412248,9.473389354999934,-40.0,-3.428571428571429,0.0,4.337899543378995,57.14285714285714
3,794.0,1.6335012594458438,3.8270209517414213,-12.0,0.0,1.0,3.0,21.0,794.0,50.933249370277075,51.733889149453105,2.0,17.0,35.0,66.0,438.0,794.0,4.834189077320927,20.513012913929504,-150.0,0.0,2.2224966045190766,8.333333333333332,150.0,794.0,4.113350125944584,9.335271119306155,-28.0,-1.0,3.0,9.0,45.0,794.0,13.457854468267675,52.0483111521181,-450.0,-1.0090449328924334,6.280339805825243,21.128542510121456,450.0,794.0,2.867758186397985,2.8667583464363227,0.0,1.0,2.0,4.0,20.0,708.0,,,-inf,-66.66666666666666,157.73809523809524,400.0,inf,794.0,-70.9911838790932,470.4468978055216,-2630.0,0.0,4.5,27.0,154.0,707.0,,,-inf,-66.66666666666666,400.0,1216.6666666666667,inf,407.0,3.5110208908047165,19.058103659953197,-150.0,-0.49019607843137253,1.6666666666666667,7.921568627450981,125.0,387.0,6.225738048670018,21.877883174896745,-100.0,0.0,2.608695652173913,8.922056384742952,150.0
4,2302.0,2.9669852302345787,3.44595643703898,-14.0,1.0,2.0,5.0,27.0,2302.0,23.702432667245873,32.158919043475244,1.0,6.0,13.0,29.0,450.0,2302.0,30.360662847557393,40.429260614042285,-100.0,1.4573268921095008,16.666666666666664,45.20202020202021,300.0,2302.0,7.647697654213728,8.780516606711329,-35.0,2.0,5.0,13.0,72.0,2302.0,79.51709898871854,107.5436634406777,-225.0,10.02808988764045,42.857142857142854,112.5,900.0,2302.0,2.0582102519548218,2.065443816721733,0.0,1.0,2.0,3.0,22.0,2110.0,,,-inf,250.0,400.0,650.0,inf,2302.0,-13.078192875760209,350.0181195566025,-5186.0,4.0,25.0,50.0,203.0,2086.0,,,-inf,400.0,1533.3333333333335,2700.0,inf,1096.0,29.797640412162295,41.466662559215465,-75.0,0.0,15.384615384615385,45.45454545454545,300.0,1206.0,30.872331661150316,39.47312790099147,-100.0,4.166666666666666,17.647058823529413,44.44444444444444,250.0
5,11084.0,3.6577047997112957,3.3209792238905784,-27.0,2.0,3.0,5.0,37.0,11084.0,14.433778419343197,20.525181645939764,1.0,5.0,8.0,16.0,485.0,11084.0,46.46920111099219,47.27956955831543,-100.0,12.76595744680851,33.33333333333333,66.66666666666666,400.0,11084.0,9.510916636593288,8.809019021583556,-71.0,4.0,8.0,13.0,92.0,11084.0,122.35605455508166,137.95777295576931,-225.0,32.4012474012474,85.71428571428571,180.0,1600.0,11084.0,1.8061169252977265,1.616267380336738,0.0,1.0,1.0,2.0,23.0,10169.0,,,-inf,400.0,500.0,850.0,inf,11084.0,27.69947672320462,176.13351692981863,-7703.0,14.0,30.0,54.0,200.0,10203.0,,,-inf,1200.0,2500.0,3750.0,inf,4354.0,44.87369592723688,47.854689045198576,-100.0,9.523809523809524,33.33333333333333,66.66666666666666,400.0,6730.0,47.50141947207199,46.878383305199755,-100.0,14.35064935064935,36.36363636363637,69.8913043478261,400.0
