,Afinn,Afinn,Afinn,Afinn,Afinn,Afinn,Afinn,Afinn,word count,word count,word count,word count,word count,word count,word count,word count,relativ_afinn,relativ_afinn,relativ_afinn,relativ_afinn,relativ_afinn,relativ_afinn,relativ_afinn,relativ_afinn,Afinn_adj,Afinn_adj,Afinn_adj,Afinn_adj,Afinn_adj,Afinn_adj,Afinn_adj,Afinn_adj,relativ_afinn_adj,relativ_afinn_adj,relativ_afinn_adj,relativ_afinn_adj,relativ_afinn_adj,relativ_afinn_adj,relativ_afinn_adj,relativ_afinn_adj,Afinn_dict,Afinn_dict,Afinn_dict,Afinn_dict,Afinn_dict,Afinn_dict,Afinn_dict,Afinn_dict,Afinn_relativ_adj2,Afinn_relativ_adj2,Afinn_relativ_adj2,Afinn_relativ_adj2,Afinn_relativ_adj2,Afinn_relativ_adj2,Afinn_relativ_adj2,Afinn_relativ_adj2,Afinn_adj3,Afinn_adj3,Afinn_adj3,Afinn_adj3,Afinn_adj3,Afinn_adj3,Afinn_adj3,Afinn_adj3,relativ_afinn_adj3,relativ_afinn_adj3,relativ_afinn_adj3,relativ_afinn_adj3,relativ_afinn_adj3,relativ_afinn_adj3,relativ_afinn_adj3,relativ_afinn_adj3,d_relativ_afinn,d_relativ_afinn,d_relativ_afinn,d_relativ_afinn,d_relativ_afinn,d_relativ_afinn,d_relativ_afinn,d_relativ_afinn,p_relativ_afinn,p_relativ_afinn,p_relativ_afinn,p_relativ_afinn,p_relativ_afinn,p_relativ_afinn,p_relativ_afinn,p_relativ_afinn
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
rating_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1102.0,-1.1043557168784028,6.207214978977272,-34.0,-4.0,-1.0,2.0,34.0,1102.0,116.80852994555354,125.23105838204198,2.0,39.0,84.0,149.0,1233.0,1102.0,-2.3517008158464434,12.016229457978529,-150.0,-5.43491959469678,-0.6243668666718616,1.8780573025856042,80.0,1102.0,-3.664246823956443,15.425122275267725,-90.0,-10.0,-2.0,4.0,90.0,1102.0,-7.035670624297667,32.556394876261386,-450.0,-13.446669310071373,-2.083333333333333,3.2726258608982444,225.0,1102.0,5.718693284936479,6.362554719591096,0.0,2.0,4.0,7.0,60.0,1021.0,,,-inf,-283.33333333333337,-78.57142857142857,100.0,inf,1102.0,-619.3956442831216,1382.7413167492668,-13012.0,-26.75,-2.0,9.0,137.0,1021.0,,,-inf,-900.0,-100.0,240.0,inf,0.0,,,,,,,,1102.0,-2.3517008158464434,12.016229457978529,-150.0,-5.43491959469678,-0.6243668666718616,1.8780573025856042,80.0
2,297.0,0.5454545454545454,5.420692449669755,-26.0,-2.0,0.0,3.0,20.0,297.0,78.08080808080808,82.95024682298087,3.0,26.0,51.0,100.0,581.0,297.0,-0.04065959304412248,9.473389354999934,-40.0,-3.428571428571429,0.0,4.337899543378995,57.14285714285714,297.0,0.7710437710437711,12.886514921120714,-72.0,-5.0,0.0,8.0,52.0,297.0,-0.8154180020087901,24.126236055304496,-162.5,-8.64864864864865,0.0,9.389671361502346,114.28571428571428,297.0,3.919191919191919,4.2696527352859155,0.0,1.0,3.0,5.0,32.0,261.0,,,-inf,-200.0,0.0,283.33333333333337,inf,297.0,-190.86531986531986,759.1517461561116,-5181.0,-5.0,0.0,21.0,135.0,260.0,,,-inf,-281.42857142857144,100.0,666.6666666666667,inf,0.0,,,,,,,,297.0,-0.04065959304412248,9.473389354999934,-40.0,-3.428571428571429,0.0,4.337899543378995,57.14285714285714
3,387.0,1.8837209302325582,3.9713244948205704,-10.0,0.0,2.0,4.0,21.0,387.0,52.89922480620155,57.04622863494181,2.0,18.0,34.0,67.0,438.0,387.0,6.225738048670018,21.877883174896745,-100.0,0.0,2.608695652173913,8.922056384742952,150.0,387.0,4.679586563307494,9.575209346302474,-21.0,0.0,4.0,9.0,45.0,387.0,16.336085591177998,55.48280143095351,-225.0,0.0,6.896551724137931,25.0,450.0,387.0,3.1291989664082687,3.126661237898866,0.0,1.0,2.0,4.0,20.0,351.0,inf,,-900.0,-33.33333333333333,158.33333333333331,400.0,inf,387.0,-80.09819121447029,501.345480533775,-2630.0,0.0,8.0,32.5,153.0,347.0,inf,,-260100.0,-49.99999999999999,400.0,1391.6666666666667,inf,0.0,,,,,,,,387.0,6.225738048670018,21.877883174896745,-100.0,0.0,2.608695652173913,8.922056384742952,150.0
4,1206.0,3.3018242122719736,3.5807386969096364,-6.0,1.0,3.0,5.0,27.0,1206.0,25.23134328358209,33.31634435251966,1.0,6.0,14.0,31.0,450.0,1206.0,30.872331661150316,39.47312790099147,-100.0,4.166666666666666,17.647058823529413,44.44444444444444,250.0,1206.0,8.322553897180763,9.238631077036823,-18.0,4.0,6.5,13.0,72.0,1206.0,78.3867252452286,103.79726676461488,-200.0,11.672077922077921,42.857142857142854,109.22619047619048,850.0,1206.0,2.22636815920398,2.1571460884509053,0.0,1.0,2.0,3.0,20.0,1125.0,,,-inf,250.0,400.0,650.0,inf,1206.0,-15.081260364842455,365.1567094233882,-5186.0,4.0,26.0,50.0,176.0,1121.0,,,-inf,400.0,1500.0,2700.0,inf,0.0,,,,,,,,1206.0,30.872331661150316,39.47312790099147,-100.0,4.166666666666666,17.647058823529413,44.44444444444444,250.0
5,6730.0,3.861069836552749,3.372920676756208,-9.0,2.0,3.0,5.0,37.0,6730.0,14.607280832095096,19.48547951448836,1.0,5.0,8.0,16.0,266.0,6730.0,47.50141947207199,46.878383305199755,-100.0,14.35064935064935,36.36363636363637,69.8913043478261,400.0,6730.0,9.96998514115899,8.94759380135693,-23.0,4.0,9.0,13.0,92.0,6730.0,124.20803142346443,138.50906159347014,-225.0,35.62037474413478,88.88888888888889,180.0,1600.0,6730.0,1.8653789004457653,1.6069414592914035,0.0,1.0,2.0,2.0,17.0,6249.0,,,-inf,400.0,516.6666666666667,800.0,inf,6730.0,27.190193164933135,201.48965463828594,-7703.0,24.0,34.0,54.0,200.0,6287.0,,,-inf,1250.0,2500.0,3750.0,inf,0.0,,,,,,,,6730.0,47.50141947207199,46.878383305199755,-100.0,14.35064935064935,36.36363636363637,69.8913043478261,400.0
